iter	Passed	Remaining
679	21845	10280
680	21876	10247
681	21912	10217
682	21958	10191
683	22006	10166
684	22044	10137
685	22077	10105
686	22108	10072
687	22142	10041
688	22174	10008
689	22206	9976
690	22240	9945
691	22273	9913
692	22308	9882
693	22339	9850
694	22371	9817
695	22403	9785
696	22435	9753
697	22465	9720
698	22497	9687
699	22527	9654
700	22558	9621
701	22592	9590
702	22626	9559
703	22660	9527
704	22694	9496
705	22735	9467
706	22765	9434
707	22796	9402
708	22828	9369
709	22860	9337
710	22892	9305
711	22924	9272
712	22956	9240
713	22990	9208
714	23021	9176
715	23053	9143
716	23085	9111
717	23116	9078
718	23148	9046
719	23180	9014
720	23211	8981
721	23242	8949
722	23274	8916
723	23305	8884
724	23337	8852
725	23368	8819
726	23401	8787
727	23434	8755
728	23466	8723
729	23498	8691
730	23530	8658
731	23562	8626
732	23593	8594
733	23628	8562
734	23659	8530
735	23690	8497
736	23722	8465
737	23761	8435
738	23796	8404
739	23831	8373
740	23865	8341
741	23896	8309
742	23936	8279
743	23975	8249
744	24013	8219
745	24054	8190
746	24088	8158
747	24121	8126
748	24162	8097
749	24194	8064
750	24224	8031
751	24256	7999
752	24288	7967
753	24320	7934
754	24352	7902
755	24386	7870
756	24418	7838
757	24452	7806
758	24481	7773
759	24514	7741
760	24546	7708
761	24578	7676
762	24613	7645
763	24646	7613
764	24679	7581
765	24712	7549
766	24747	7517
767	24784	7487
768	24816	7454
769	24848	7422
770	24880	7389
771	24912	7357
772	24944	7325
773	24976	7293
774	25009	7260
775	25041	7228
776	25073	7196
777	25104	7163
778	25136	7131
779	25168	7098
780	25199	7066
781	25231	7033
782	25264	7001
783	25293	6968
784	25325	6936
785	25361	6904
786	25393	6872
787	25423	6839
788	25455	6807
789	25491	6776
790	25523	6743
791	25554	6711
792	25585	6678
793	25621	6647
794	25652	6614
795	25686	6582
796	25718	6550
797	25747	6517
798	25778	6485
799	25811	6452
800	25842	6420
801	25872	6387
802	25906	6355
803	25938	6323
804	25968	6290
805	25999	6257
806	26031	6225
807	26063	6193
808	26094	6160
809	26133	6130
810	26165	6097
811	26197	6065
812	26230	6033
813	26263	6001
814	26295	5969
815	26335	5938
816	26382	5909
817	26416	5877
818	26449	5845
819	26481	5813
820	26515	5781
821	26555	5750
822	26587	5718
823	26620	5685
824	26654	5653
825	26686	5621
826	26717	5588
827	26748	5556
828	26779	5523
829	26810	5491
830	26853	5461
831	26887	5429
832	26917	5396
833	26950	5364
834	26980	5331
835	27011	5299
836	27043	5266
837	27076	5234
838	27106	5201
839	27139	5169
840	27172	5137
841	27204	5104
842	27235	5072
843	27268	5040
844	27298	5007
845	27328	4974
846	27363	4942
847	27395	4910
848	27425	4877
849	27456	4845
850	27489	4813
851	27520	4780
852	27554	4748
853	27587	4716
854	27621	4684
855	27656	4652
856	27689	4620
857	27721	4587
